year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,5,9,937,940,-3,1107,1055,12,9E,3608,N8495B,JFK,PHL,39,94,9,40,2013-05-09T13:00:00Z
2013,4,15,2040,2025,15,14,2333,41,UA,771,N512UA,JFK,LAX,349,2475,20,25,2013-04-16T00:00:00Z
2013,3,20,656,700,-4,1026,1025,1,UA,347,N525UA,JFK,SFO,357,2586,7,0,2013-03-20T11:00:00Z
2013,2,13,1834,1830,4,2042,2052,-10,UA,612,N820UA,EWR,DEN,226,1605,18,30,2013-02-13T23:00:00Z
2013,7,27,1808,1755,13,2108,2057,11,B6,359,N592JB,JFK,BUR,329,2465,17,55,2013-07-27T21:00:00Z
2013,5,31,745,740,5,850,900,-10,WN,3052,N555LV,EWR,MDW,101,711,7,40,2013-05-31T11:00:00Z
2013,9,7,1425,1429,-4,1621,1705,-44,UA,578,N467UA,EWR,LAS,278,2227,14,29,2013-09-07T18:00:00Z
2013,10,8,1639,1642,-3,1951,2000,-9,UA,1284,N33203,EWR,SFO,327,2565,16,42,2013-10-08T20:00:00Z
2013,1,13,1302,1250,12,1455,1449,6,EV,4893,N371CA,EWR,DTW,95,488,12,50,2013-01-13T17:00:00Z
2013,7,14,1152,1200,-8,1306,1314,-8,US,2173,N957UW,LGA,DCA,49,214,12,0,2013-07-14T16:00:00Z
2013,6,24,555,600,-5,726,659,27,US,2161,N742PS,LGA,DCA,39,214,6,0,2013-06-24T10:00:00Z
2013,8,2,607,605,2,747,749,-2,DL,1279,N342NB,LGA,MEM,139,963,6,5,2013-08-02T10:00:00Z
2013,1,26,1706,1702,4,1809,1826,-17,UA,1131,N16709,EWR,BOS,37,200,17,2,2013-01-26T22:00:00Z
2013,7,9,1857,1900,-3,2116,2016,60,US,2187,N760US,LGA,DCA,45,214,19,0,2013-07-09T23:00:00Z
2013,11,20,1734,1740,-6,2100,2118,-18,B6,135,N607JB,JFK,PHX,305,2153,17,40,2013-11-20T22:00:00Z
2013,1,17,636,630,6,805,800,5,EV,4560,N14153,EWR,PIT,65,319,6,30,2013-01-17T11:00:00Z
2013,8,11,1557,1610,-13,1731,1800,-29,AA,343,N488AA,LGA,ORD,113,733,16,10,2013-08-11T20:00:00Z
